geoid_r	pop_rIp	GDPpc_rIp	popd_rIp	allpat	educ_rIp
873	818948.09	8378.98	5.47	0.04	8.44
874	2449620.17	3198.69	3.75	2.13	5.99
875				2.89	
878	191446.08	5385.89	3.94	0.08	8.42
879	98462.87	5870.29	3.83	0.03	8.29
889	2846355.37	4517.13	7.84	0.00	9.13
891	3176777.46	25197.40	6.42	3.98	8.48
892	380404.73	29555.19	4.50	0.28	8.59
893	508414.25	25991.83	5.04	0.09	8.51
895	524734.96	7134.95	0.84	0.06	10.30
896	326858.31	17350.22	1.37	0.03	10.66
900	1112211.88	7420.75	1.24	0.13	10.47
903	516787.73	17388.50	4.80	0.10	12.18
912	30950.03	6546.44	2.72	0.03	10.64
914	34390.71	8169.39	2.51	0.06	10.49
915	142544.98	9943.35	3.83	0.11	11.80
917	55441.02	7482.21	2.84	0.06	10.80
920	124529.41	6618.03	3.62	0.00	10.34
931	57551.78	4841.67	3.51	0.03	10.54
932	893221.83	12933.58	5.67	0.26	11.33
936	25946.36	4151.97	2.73	0.00	9.95
946				0.03	
951				0.02	
956				0.00	
957	431174.90	32295.70	5.31	3.89	12.74
958	179353.69	24674.41	3.87	1.03	12.52
959	275898.19	39851.39	7.34	2.59	13.02
960	735203.59	28296.08	5.00	3.90	12.62
961	156765.22	27326.88	4.85	2.64	12.62
962	171130.12	29563.12	5.68	1.47	12.54
963	120285.50	28900.69	5.32	1.73	12.63
964	146960.82	48822.08	8.58	4.56	12.77
965	179180.12	33520.13	6.15	6.44	12.72
966	372788.84	31875.10	5.88	7.10	12.56
967	877771.56	40869.41	6.53	12.46	12.77
968	27748.06	36799.81	4.01	0.17	12.31
969	53438.02	32269.85	5.49	1.14	12.57
970	47913.40	27751.58	5.05	0.18	12.39
971	312723.69	28663.57	5.37	2.58	12.46
972	127692.70	29814.02	3.22	1.04	12.52
973	211308.97	28566.45	5.80	1.50	12.44
974	238670.51	27921.52	5.38	1.25	12.56
975	25057.23	26900.13	3.46	0.57	12.46
976	83134.44	30673.72	4.82	0.49	12.49
977	21342.59	25657.32	4.08	0.13	12.51
978	24147.41	35828.50	4.78	0.47	12.58
979	64264.59	53026.33	5.89	0.86	12.78
980	150652.16	27293.77	4.33	0.51	12.63
981	1695675.54	36339.15	5.50	13.47	10.88
982	294954.97	23346.99	3.54	2.59	10.77
983	249222.83	22906.09	3.60	0.96	10.02
984	387904.84	24698.16	3.51	2.40	10.28
985	267329.52	24464.67	3.34	1.73	10.11
986	242468.66	26364.77	3.76	0.47	10.09
