geoid_r,macroregion,impact,diff,year_c,region,allpat,pop_r,yearsofeducation_r,gdppcregion_r,lnpopulationdensity_r,shape_area_r,id_c,pop_r_ip,yearsofeducation_r_ip,gdppcregion_r_ip,lnpopulationdensity_r_ip,shape_area_r_ip,region_ip
466,Latin America,.12582392,0,2005,Chiquimula,0,169277.89,,5896.1919,4.9215961,1233611028.42,,169277.89,,5896.1919,4.9215961,1233611028.42,Chiquimula
467,Latin America,.12582392,0,2005,Jalapa,0,139430.88,,1756.537,4.8859968,1052924949.68,,139430.88,,1756.537,4.8859968,1052924949.68,Jalapa
468,Latin America,.12582392,0,2005,Jutiapa,0,210500.45,,1595.303,4.812129,1711480503.97,,210500.45,,1595.303,4.812129,1711480503.97,Jutiapa
469,Latin America,.12582392,0,2005,Zacapa,0,108138.28,,5245.1138,4.3966289,1332133493.09,,108138.28,,5245.1138,4.3966289,1332133493.09,Zacapa
470,Latin America,.12582392,1,2005,,0,,,,,,,159560.11,3.3957441,3461.4944,5.5349951,628591641.549,Ahuachapn
471,Latin America,.12582392,0,2005,,0,,,,,,,79835.555,2.8152909,3521.5181,4.9704881,552942781.28,Cabaas
472,Latin America,.12582392,0,2005,,0,,,,,,,115927.3,4.1546068,4428.7451,5.697855,387339268.096,Cuscatln
473,Latin America,.12582392,0,2005,,0,,,,,,,101817.13,3.2725739,4059.5203,4.6465139,975462536.661,Chalatenango
474,Latin America,.12582392,0,2005,,0,,,,,,,83856.578,4.466291,5251.8984,4.3263669,1106431496.34,Santa Ana
475,Western Europe,.45133045,0,2005,Almera,2,385048.06,,26381.42,4.24512,5519283920.38,1777,385048.06,8.6802511,26381.42,4.24512,5519283920.38,Almera
476,Western Europe,.45133045,0,2005,Cdiz,0,736434.94,,22379.23,5.06879,4632195059.16,1777,736434.94,8.7350874,22379.23,5.06879,4632195059.16,Cdiz
477,Western Europe,.45133045,0,2005,Crdoba,8,498469.78,,19051.641,4.0422988,8751665191.43,1777,498469.78,8.406147,19051.641,4.0422988,8751665191.43,Crdoba
478,Western Europe,.45133045,0,2005,Granada,7,542191.63,,19933.961,4.2204881,7965593495.85,1777,542191.63,8.6700821,19933.961,4.2204881,7965593495.85,Granada
479,Western Europe,.45133045,1,2005,Huelva,0,305758.66,,24017.84,3.8709321,6371685697.8,,305758.66,9.190258,24017.84,3.8709321,6371685697.8,Huelva
480,Western Europe,.45133045,0,2005,Jan,0,419739.81,,18155.369,3.890254,8579546142.3,,419739.81,8.3820581,18155.369,3.890254,8579546142.3,Jan
481,Western Europe,.45133045,0,2005,Mlaga,6,909452.5,,23036.859,5.2928171,4572343000.29,1777,909452.5,8.8963861,23036.859,5.2928171,4572343000.29,Mlaga
482,Western Europe,.45133045,0,2005,Sevilla,14,1144241,,22645.66,4.861753,8852888842.23,1777,1144241,8.7635221,22645.66,4.861753,8852888842.23,Sevilla
483,Western Europe,.45133045,0,2005,Albacete,0,247223.03,,21126.039,3.2492809,9592771984.459999,1777,247223.03,8.6470814,21126.039,3.2492809,9592771984.459999,Albacete
